date	AAPL	SPY	TSLA	QQQ	MSFT	NVDA
2024-09-30	231.06707763671875	562.2105102539062	261.6300048828125	483.68328857421875	423.60821533203125	121.25054931640625
2024-10-31	224.03591918945312	557.1934814453125	249.85000610351562	479.50128173828125	400.0307312011719	132.55287170410156
2024-11-30	235.6201171875	590.4208984375	345.1600036621094	505.15850830078125	417.7091064453125	138.03433227539062
2024-12-31	248.61578369140625	576.21533203125	403.8399963378906	507.4521789550781	415.77569580078125	134.08973693847656
2025-01-31	234.2996826171875	591.6903076171875	404.6000061035156	518.430419921875	409.42315673828125	119.89093780517578
2025-02-28	240.36158752441406	584.178955078125	292.9800109863281	504.4147644042969	392.38372802734375	124.73369598388672
2025-03-31	220.77207946777344	551.6289672851562	259.1600036621094	466.1488952636719	371.0343933105469	108.22832489013672
2025-04-30	211.20095825195312	546.84619140625	282.1600036621094	472.66015625	390.6738586425781	108.76756286621094
2025-05-31	199.8839569091797	581.2128295898438	346.4599914550781	516.0422973632812	455.85382080078125	134.94090270996094
2025-06-30	204.18316650390625	611.0790405273438	317.6600036621094	548.9959106445312	492.5411682128906	157.7798614501953
2025-07-31	206.57164001464844	625.1531372070312	308.2699890136719	562.3018188476562	528.2778930664062	177.63340759277344
2025-08-31	231.28562927246094	637.98095703125	333.8699951171875	567.666015625	502.55511474609375	173.94830322265625
2025-09-30	253.69287109375	660.7061157226562	444.7200012207031	598.18505859375	513.7232666015625	186.3423309326172
2025-10-31	269.37493896484375	676.4556274414062	456.55999755859375	626.7806396484375	513.5843505859375	202.23207092285156
2025-11-30	278.0930480957031	677.7747192382812	430.1700134277344	616.9962768554688	488.9082946777344	176.7745361328125
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	612.8628540039062	480.5711669921875	186.27281188964844
2026-01-31	258.775634765625	688.3120727539062	430.4100036621094	620.4050903320312	427.577392578125	190.8971710205078
2026-02-28	263.70941162109375	682.3637084960938	402.510009765625	605.859375	391.15484619140625	176.97415161132812
2026-03-31	253.33790588378906	648.6688842773438	371.75	576.54638671875	368.67596435546875	174.1969757080078
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	667.0069580078125	406.1341552734375	199.33767700195312
2026-05-31	311.7911071777344	754.5361328125	435.7900085449219	737.49951171875	449.3940124511719	210.8942108154297
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	736.4000244140625	372.319091796875	200.08999633789062
2026-07-31	308.6438293457031	747.030029296875	311.2099914550781	687.989990234375	463.8468017578125	200.75
2026-08-31	319.70001220703125	769.3499755859375	348.75	716.4299926757812	513.530029296875	217.5500030517578
