index	return	risk	AAPL	SPY	TSLA	QQQ	MSFT	NVDA
0	0.014548336887451782	0.036768792721757	0.09806347603113152	0.9019365239688684	0.0	1.6462352570617493e-17	4.163336342344337e-17	0.0
1	0.01470143840801642	0.037066141350923947	0.15831002836101157	0.830963015190972	2.3174821436877657e-18	0.010346453001846907	0.0	0.00038050344616950924
2	0.01485453992858106	0.03805879632194235	0.26662959643123135	0.7299458665086828	1.145188544687814e-18	0.0032290465928280256	0.0	0.00019549046725799907
3	0.015007641449145697	0.03803467253557871	0.2503606428536486	0.7368656109202215	4.7704895589362195e-18	0.0	0.0	0.012773746226129973
4	0.015160742969710336	0.03814279750106966	0.240605669779127	0.7356469306913214	0.0	0.0	0.0	0.023747399529551697
5	0.015313844490274973	0.03838231442470669	0.24261690212226783	0.723967694205733	0.0	0.0	7.37257477290143e-17	0.033415403671999244
6	0.015466946010839613	0.03858273717453018	0.23870707390811496	0.717552481804639	2.6020852139652106e-18	0.0	0.0	0.0437404442872462
7	0.01562004753140425	0.03876745088626594	0.23025798611625817	0.715172825011495	0.0	0.0	2.905661822261152e-17	0.05456918887224678
8	0.015773149051968888	0.03894189468887594	0.21538278870838207	0.7185061987445656	0.0	3.469446951953614e-17	0.0	0.06611101254705248
9	0.015926250572533527	0.0391510771837468	0.19772813881718898	0.7243105983895409	0.0	0.0	0.0	0.07796126279327027
10	0.016079352093098166	0.04204693744583257	0.29595226462408486	0.4298825150541019	1.734723475976807e-17	0.2712968491163842	0.0	0.0028683712054290277
11	0.016232453613662805	0.04222673256809012	0.29537751879243856	0.4220292955106861	2.688821387764051e-17	0.2691962253911139	9.020562075079397e-17	0.013396960305761556
12	0.01638555513422744	0.04241981984879509	0.29473380237793867	0.4142086150807671	0.0	0.2671351904893309	2.7755575615628914e-17	0.0239223920519634
13	0.01653865665479208	0.042626042097813586	0.29401936609623286	0.406423100775116	0.0	0.2651122699280752	0.0	0.034445263200576025
14	0.01669175817535672	0.04284523962831747	0.29323255300438855	0.398675278068418	1.734723475976807e-18	0.2631260159692015	0.0	0.044966152957992125
15	0.01684485969592136	0.043077250734143584	0.2923718213706965	0.39096756635744767	1.0191500421363742e-17	0.2611749858974278	0.0	0.05548562637442788
16	0.016997961216485995	0.043321933010766464	0.29144145770995505	0.38330047797581296	1.7780915628762273e-17	0.25925323250748944	2.7755575615628914e-17	0.06600483180674258
17	0.017151062737050634	0.04357920783455922	0.29044657401533336	0.3756671393087102	0.0	0.2573639596718677	0.0	0.0765223270040889
18	0.017304164257615273	0.04384885195956796	0.28938704616130256	0.36807396272215465	2.2768245622195593e-17	0.255498497905965	0.0	0.08704049321057766
19	0.01745726577817991	0.04413063375272414	0.2882613472886934	0.3605287552601576	0.0	0.2536479741466977	0.0	0.09756192330445126
20	0.017610367298744548	0.04442785545335731	0.2873497854456796	0.35262586920244604	0.0	0.2520276046900529	0.0	0.10799674066182147
21	0.017763468819309187	0.044732900880449934	0.2860641363261278	0.34521897116245126	1.3877787807814457e-17	0.2501824322265476	2.7755575615628914e-17	0.11853446028487324
22	0.017916570339873827	0.04504659534769498	0.2844450757775687	0.3382616037519723	2.2768245622195593e-18	0.2481266274920218	0.0	0.12916669297843733
23	0.018069671860438462	0.04537480487663339	0.28294347346780513	0.33098939662164995	0.0	0.24636028106184094	0.0	0.13970684884870402
24	0.0182227733810031	0.04571441754233181	0.28135663114195353	0.32376762334150117	0.0	0.24462880418930152	6.938893903907228e-18	0.15024694132724378
25	0.01837587490156774	0.04606526716998394	0.2796849763215691	0.3165968392263027	1.940721888749053e-17	0.24293090986929716	6.938893903907228e-18	0.16078727458283118
